
===================== Span-Based Correction ======================
Category       TP       FP       FN       P        R        F0.5
M:ADJ          0        6        0        0.0      1.0      0.0
M:ADV          3        5        2        0.375    0.6      0.4054
M:CONJ         0        1        0        0.0      1.0      0.0
M:CONTR        0        0        1        1.0      0.0      0.0
M:DET          35       17       8        0.6731   0.814    0.6972
M:NOUN         0        5        5        0.0      0.0      0.0
M:NOUN:POSS    0        0        4        1.0      0.0      0.0
M:OTHER        1        11       15       0.0833   0.0625   0.0781
M:PART         1        0        0        1.0      1.0      1.0
M:PREP         8        18       5        0.3077   0.6154   0.3419
M:PRON         2        6        6        0.25     0.25     0.25
M:PUNCT        0        0        125      1.0      0.0      0.0
M:VERB         3        2        4        0.6      0.4286   0.5556
M:VERB:FORM    2        2        2        0.5      0.5      0.5
M:VERB:TENSE   6        1        0        0.8571   1.0      0.8824
R:ADJ          3        15       13       0.1667   0.1875   0.1705
R:ADJ:FORM     0        1        5        0.0      0.0      0.0
R:ADV          2        2        3        0.5      0.4      0.4762
R:CONJ         0        2        1        0.0      0.0      0.0
R:CONTR        0        3        1        0.0      0.0      0.0
R:DET          20       18       13       0.5263   0.6061   0.5405
R:MORPH        14       10       15       0.5833   0.4828   0.56
R:NOUN         2        163      30       0.0121   0.0625   0.0145
R:NOUN:INFL    1        0        0        1.0      1.0      1.0
R:NOUN:NUM     26       14       17       0.65     0.6047   0.6404
R:NOUN:POSS    0        0        1        1.0      0.0      0.0
R:ORTH         17       745      20       0.0223   0.4595   0.0276
R:OTHER        19       278      64       0.064    0.2289   0.0747
R:PART         2        2        3        0.5      0.4      0.4762
R:PREP         35       31       22       0.5303   0.614    0.5452
R:PRON         2        6        9        0.25     0.1818   0.2326
R:PUNCT        0        3        40       0.0      0.0      0.0
R:SPELL        26       31       18       0.4561   0.5909   0.4779
R:VERB         6        30       23       0.1667   0.2069   0.1734
R:VERB:FORM    17       14       13       0.5484   0.5667   0.5519
R:VERB:SVA     25       11       4        0.6944   0.8621   0.7225
R:VERB:TENSE   17       11       24       0.6071   0.4146   0.5556
R:WO           7        3        11       0.7      0.3889   0.6034
U:ADJ          1        3        0        0.25     1.0      0.2941
U:ADV          1        4        4        0.2      0.2      0.2
U:CONJ         0        2        1        0.0      0.0      0.0
U:CONTR        2        0        0        1.0      1.0      1.0
U:DET          20       27       15       0.4255   0.5714   0.4484
U:NOUN         1        3        4        0.25     0.2      0.2381
U:OTHER        6        24       9        0.2      0.4      0.2222
U:PART         2        0        1        1.0      0.6667   0.9091
U:PREP         9        10       8        0.4737   0.5294   0.4839
U:PRON         0        4        4        0.0      0.0      0.0
U:PUNCT        4        106      1        0.0364   0.8      0.0449
U:VERB         1        7        0        0.125    1.0      0.1515
U:VERB:FORM    3        4        0        0.4286   1.0      0.4839
U:VERB:TENSE   4        1        0        0.8      1.0      0.8333

=========== Span-Based Correction ============
TP	FP	FN	Prec	Rec	F0.5
356	1662	574	0.1764	0.3828	0.1977
==============================================

