condition,error_type,gold_count,system_count
baseline,M:ADJ,0,6
baseline,M:ADV,5,8
baseline,M:CONJ,0,1
baseline,M:CONTR,1,0
baseline,M:DET,43,52
baseline,M:NOUN,5,5
baseline,M:NOUN:POSS,4,0
baseline,M:OTHER,16,12
baseline,M:PART,1,1
baseline,M:PREP,13,26
baseline,M:PRON,8,8
baseline,M:PUNCT,125,0
baseline,M:VERB,7,5
baseline,M:VERB:FORM,4,4
baseline,M:VERB:TENSE,6,7
baseline,R:ADJ,16,18
baseline,R:ADJ:FORM,5,1
baseline,R:ADV,5,4
baseline,R:CONJ,1,2
baseline,R:CONTR,1,3
baseline,R:DET,33,38
baseline,R:MORPH,29,24
baseline,R:NOUN,32,165
baseline,R:NOUN:INFL,1,1
baseline,R:NOUN:NUM,43,40
baseline,R:NOUN:POSS,1,0
baseline,R:ORTH,37,762
baseline,R:OTHER,83,297
baseline,R:PART,5,4
baseline,R:PREP,57,66
baseline,R:PRON,11,8
baseline,R:PUNCT,40,3
baseline,R:SPELL,44,57
baseline,R:VERB,29,36
baseline,R:VERB:FORM,30,31
baseline,R:VERB:SVA,29,36
baseline,R:VERB:TENSE,41,28
baseline,R:WO,18,10
baseline,U:ADJ,1,4
baseline,U:ADV,5,5
baseline,U:CONJ,1,2
baseline,U:CONTR,2,2
baseline,U:DET,35,47
baseline,U:NOUN,5,4
baseline,U:OTHER,15,30
baseline,U:PART,3,2
baseline,U:PREP,17,19
baseline,U:PRON,4,4
baseline,U:PUNCT,5,110
baseline,U:VERB,1,8
baseline,U:VERB:FORM,3,7
baseline,U:VERB:TENSE,4,5
fewshot,M:ADJ,0,3
fewshot,M:ADV,5,4
fewshot,M:CONJ,0,1
fewshot,M:CONTR,1,0
fewshot,M:DET,43,50
fewshot,M:NOUN,5,2
fewshot,M:NOUN:POSS,4,0
fewshot,M:OTHER,16,7
fewshot,M:PART,1,1
fewshot,M:PREP,13,23
fewshot,M:PRON,8,6
fewshot,M:PUNCT,125,0
fewshot,M:VERB,7,7
fewshot,M:VERB:FORM,4,4
fewshot,M:VERB:TENSE,6,5
fewshot,R:ADJ,16,15
fewshot,R:ADJ:FORM,5,1
fewshot,R:ADV,5,1
fewshot,R:CONJ,1,2
fewshot,R:CONTR,1,1
fewshot,R:DET,33,29
fewshot,R:MORPH,29,20
fewshot,R:NOUN,32,123
fewshot,R:NOUN:INFL,1,1
fewshot,R:NOUN:NUM,43,30
fewshot,R:NOUN:POSS,1,0
fewshot,R:ORTH,37,825
fewshot,R:OTHER,83,183
fewshot,R:PART,5,4
fewshot,R:PREP,57,44
fewshot,R:PRON,11,3
fewshot,R:PUNCT,40,2
fewshot,R:SPELL,44,54
fewshot,R:VERB,29,16
fewshot,R:VERB:FORM,30,26
fewshot,R:VERB:SVA,29,39
fewshot,R:VERB:TENSE,41,23
fewshot,R:WO,18,8
fewshot,U:ADJ,1,4
fewshot,U:ADV,5,1
fewshot,U:CONJ,1,0
fewshot,U:CONTR,2,1
fewshot,U:DET,35,32
fewshot,U:NOUN,5,3
fewshot,U:OTHER,15,18
fewshot,U:PART,3,2
fewshot,U:PREP,17,16
fewshot,U:PRON,4,1
fewshot,U:PUNCT,5,83
fewshot,U:VERB,1,6
fewshot,U:VERB:FORM,3,6
fewshot,U:VERB:TENSE,4,4
instruction,M:ADJ,0,3
instruction,M:ADV,5,2
instruction,M:CONTR,1,0
instruction,M:DET,43,37
instruction,M:NOUN,5,2
instruction,M:NOUN:POSS,4,0
instruction,M:OTHER,16,4
instruction,M:PART,1,0
instruction,M:PREP,13,9
instruction,M:PRON,8,6
instruction,M:PUNCT,125,0
instruction,M:VERB,7,4
instruction,M:VERB:FORM,4,4
instruction,M:VERB:TENSE,6,5
instruction,R:ADJ,16,12
instruction,R:ADJ:FORM,5,0
instruction,R:ADV,5,2
instruction,R:CONJ,1,2
instruction,R:CONTR,1,1
instruction,R:DET,33,18
instruction,R:MORPH,29,16
instruction,R:NOUN,32,125
instruction,R:NOUN:INFL,1,1
instruction,R:NOUN:NUM,43,21
instruction,R:NOUN:POSS,1,0
instruction,R:ORTH,37,852
instruction,R:OTHER,83,158
instruction,R:PART,5,2
instruction,R:PREP,57,29
instruction,R:PRON,11,3
instruction,R:PUNCT,40,1
instruction,R:SPELL,44,52
instruction,R:VERB,29,14
instruction,R:VERB:FORM,30,20
instruction,R:VERB:SVA,29,39
instruction,R:VERB:TENSE,41,16
instruction,R:WO,18,5
instruction,U:ADJ,1,2
instruction,U:ADV,5,0
instruction,U:CONJ,1,0
instruction,U:CONTR,2,0
instruction,U:DET,35,26
instruction,U:NOUN,5,3
instruction,U:OTHER,15,12
instruction,U:PART,3,1
instruction,U:PREP,17,11
instruction,U:PRON,4,1
instruction,U:PUNCT,5,80
instruction,U:VERB,1,1
instruction,U:VERB:FORM,3,5
instruction,U:VERB:TENSE,4,3
role,M:ADJ,0,3
role,M:ADV,5,3
role,M:CONJ,0,2
role,M:CONTR,1,0
role,M:DET,43,40
role,M:NOUN,5,2
role,M:NOUN:POSS,4,0
role,M:OTHER,16,5
role,M:PART,1,1
role,M:PREP,13,17
role,M:PRON,8,7
role,M:PUNCT,125,0
role,M:VERB,7,7
role,M:VERB:FORM,4,4
role,M:VERB:TENSE,6,4
role,R:ADJ,16,14
role,R:ADJ:FORM,5,0
role,R:ADV,5,1
role,R:CONJ,1,2
role,R:CONTR,1,1
role,R:DET,33,23
role,R:MORPH,29,18
role,R:NOUN,32,122
role,R:NOUN:INFL,1,1
role,R:NOUN:NUM,43,29
role,R:NOUN:POSS,1,0
role,R:ORTH,37,825
role,R:OTHER,83,178
role,R:PART,5,3
role,R:PREP,57,37
role,R:PRON,11,5
role,R:PUNCT,40,2
role,R:SPELL,44,56
role,R:VERB,29,16
role,R:VERB:FORM,30,26
role,R:VERB:SVA,29,40
role,R:VERB:TENSE,41,19
role,R:WO,18,8
role,U:ADJ,1,4
role,U:ADV,5,2
role,U:CONJ,1,0
role,U:CONTR,2,3
role,U:DET,35,29
role,U:NOUN,5,2
role,U:OTHER,15,18
role,U:PART,3,2
role,U:PREP,17,14
role,U:PRON,4,1
role,U:PUNCT,5,79
role,U:VERB,1,5
role,U:VERB:FORM,3,6
role,U:VERB:TENSE,4,4
