
===================== Span-Based Correction ======================
Category       TP       FP       FN       P        R        F0.5
M:ADJ          0        3        0        0.0      1.0      0.0
M:ADV          2        2        3        0.5      0.4      0.4762
M:CONJ         0        1        0        0.0      1.0      0.0
M:CONTR        0        0        1        1.0      0.0      0.0
M:DET          30       20       13       0.6      0.6977   0.6173
M:NOUN         0        2        5        0.0      0.0      0.0
M:NOUN:POSS    0        0        4        1.0      0.0      0.0
M:OTHER        1        6        15       0.1429   0.0625   0.1136
M:PART         1        0        0        1.0      1.0      1.0
M:PREP         7        16       6        0.3043   0.5385   0.3333
M:PRON         2        4        6        0.3333   0.25     0.3125
M:PUNCT        0        0        125      1.0      0.0      0.0
M:VERB         3        4        4        0.4286   0.4286   0.4286
M:VERB:FORM    2        2        2        0.5      0.5      0.5
M:VERB:TENSE   4        1        2        0.8      0.6667   0.7692
R:ADJ          4        11       12       0.2667   0.25     0.2632
R:ADJ:FORM     0        1        5        0.0      0.0      0.0
R:ADV          1        0        4        1.0      0.2      0.5556
R:CONJ         0        2        1        0.0      0.0      0.0
R:CONTR        0        1        1        0.0      0.0      0.0
R:DET          18       11       15       0.6207   0.5455   0.604
R:MORPH        13       7        16       0.65     0.4483   0.5963
R:NOUN         2        121      30       0.0163   0.0625   0.0191
R:NOUN:INFL    1        0        0        1.0      1.0      1.0
R:NOUN:NUM     22       8        21       0.7333   0.5116   0.6748
R:NOUN:POSS    0        0        1        1.0      0.0      0.0
R:ORTH         18       807      19       0.0218   0.4865   0.027
R:OTHER        13       170      70       0.071    0.1566   0.0798
R:PART         2        2        3        0.5      0.4      0.4762
R:PREP         26       18       31       0.5909   0.4561   0.5579
R:PRON         2        1        9        0.6667   0.1818   0.4348
R:PUNCT        0        2        40       0.0      0.0      0.0
R:SPELL        26       28       18       0.4815   0.5909   0.5
R:VERB         4        12       25       0.25     0.1379   0.2151
R:VERB:FORM    15       11       15       0.5769   0.5      0.5597
R:VERB:SVA     26       13       3        0.6667   0.8966   0.7027
R:VERB:TENSE   13       10       28       0.5652   0.3171   0.4887
R:WO           7        1        11       0.875    0.3889   0.7
U:ADJ          1        3        0        0.25     1.0      0.2941
U:ADV          0        1        5        0.0      0.0      0.0
U:CONJ         0        0        1        1.0      0.0      0.0
U:CONTR        1        0        1        1.0      0.5      0.8333
U:DET          19       13       16       0.5938   0.5429   0.5828
U:NOUN         1        2        4        0.3333   0.2      0.2941
U:OTHER        5        13       10       0.2778   0.3333   0.2874
U:PART         2        0        1        1.0      0.6667   0.9091
U:PREP         10       6        7        0.625    0.5882   0.6173
U:PRON         0        1        4        0.0      0.0      0.0
U:PUNCT        2        81       3        0.0241   0.4      0.0297
U:VERB         0        6        1        0.0      0.0      0.0
U:VERB:FORM    3        3        0        0.5      1.0      0.5556
U:VERB:TENSE   3        1        1        0.75     0.75     0.75

=========== Span-Based Correction ============
TP	FP	FN	Prec	Rec	F0.5
312	1428	618	0.1793	0.3355	0.1977
==============================================

