
===================== Span-Based Correction ======================
Category       TP       FP       FN       P        R        F0.5
M:ADJ          0        3        0        0.0      1.0      0.0
M:ADV          1        1        4        0.5      0.2      0.3846
M:CONTR        0        0        1        1.0      0.0      0.0
M:DET          28       9        15       0.7568   0.6512   0.733
M:NOUN         0        2        5        0.0      0.0      0.0
M:NOUN:POSS    0        0        4        1.0      0.0      0.0
M:OTHER        1        3        15       0.25     0.0625   0.1562
M:PART         0        0        1        1.0      0.0      0.0
M:PREP         7        2        6        0.7778   0.5385   0.7143
M:PRON         1        5        7        0.1667   0.125    0.1562
M:PUNCT        0        0        125      1.0      0.0      0.0
M:VERB         2        2        5        0.5      0.2857   0.4348
M:VERB:FORM    2        2        2        0.5      0.5      0.5
M:VERB:TENSE   4        1        2        0.8      0.6667   0.7692
R:ADJ          1        11       15       0.0833   0.0625   0.0781
R:ADJ:FORM     0        0        5        1.0      0.0      0.0
R:ADV          1        1        4        0.5      0.2      0.3846
R:CONJ         0        2        1        0.0      0.0      0.0
R:CONTR        0        1        1        0.0      0.0      0.0
R:DET          9        9        24       0.5      0.2727   0.4286
R:MORPH        12       4        17       0.75     0.4138   0.6452
R:NOUN         2        123      30       0.016    0.0625   0.0188
R:NOUN:INFL    1        0        0        1.0      1.0      1.0
R:NOUN:NUM     17       4        26       0.8095   0.3953   0.6693
R:NOUN:POSS    0        0        1        1.0      0.0      0.0
R:ORTH         16       836      21       0.0188   0.4324   0.0232
R:OTHER        11       147      72       0.0696   0.1325   0.0769
R:PART         1        1        4        0.5      0.2      0.3846
R:PREP         21       8        36       0.7241   0.3684   0.6069
R:PRON         2        1        9        0.6667   0.1818   0.4348
R:PUNCT        0        1        40       0.0      0.0      0.0
R:SPELL        26       26       18       0.5      0.5909   0.5159
R:VERB         3        11       26       0.2143   0.1034   0.1765
R:VERB:FORM    12       8        18       0.6      0.4      0.5455
R:VERB:SVA     26       13       3        0.6667   0.8966   0.7027
R:VERB:TENSE   11       5        30       0.6875   0.2683   0.5238
R:WO           3        2        15       0.6      0.1667   0.3947
U:ADJ          1        1        0        0.5      1.0      0.5556
U:ADV          0        0        5        1.0      0.0      0.0
U:CONJ         0        0        1        1.0      0.0      0.0
U:CONTR        0        0        2        1.0      0.0      0.0
U:DET          16       10       19       0.6154   0.4571   0.5755
U:NOUN         1        2        4        0.3333   0.2      0.2941
U:OTHER        4        8        11       0.3333   0.2667   0.3175
U:PART         1        0        2        1.0      0.3333   0.7143
U:PREP         7        4        10       0.6364   0.4118   0.5738
U:PRON         0        1        4        0.0      0.0      0.0
U:PUNCT        3        77       2        0.0375   0.6      0.0462
U:VERB         0        1        1        0.0      0.0      0.0
U:VERB:FORM    3        2        0        0.6      1.0      0.6522
U:VERB:TENSE   2        1        2        0.6667   0.5      0.625

=========== Span-Based Correction ============
TP	FP	FN	Prec	Rec	F0.5
259	1351	671	0.1609	0.2785	0.1757
==============================================

