
===================== Span-Based Correction ======================
Category       TP       FP       FN       P        R        F0.5
M:ADJ          0        3        0        0.0      1.0      0.0
M:ADV          1        2        4        0.3333   0.2      0.2941
M:CONJ         0        2        0        0.0      1.0      0.0
M:CONTR        0        0        1        1.0      0.0      0.0
M:DET          29       11       14       0.725    0.6744   0.7143
M:NOUN         0        2        5        0.0      0.0      0.0
M:NOUN:POSS    0        0        4        1.0      0.0      0.0
M:OTHER        1        4        15       0.2      0.0625   0.1389
M:PART         1        0        0        1.0      1.0      1.0
M:PREP         8        9        5        0.4706   0.6154   0.4938
M:PRON         2        5        6        0.2857   0.25     0.2778
M:PUNCT        0        0        125      1.0      0.0      0.0
M:VERB         3        4        4        0.4286   0.4286   0.4286
M:VERB:FORM    2        2        2        0.5      0.5      0.5
M:VERB:TENSE   3        1        3        0.75     0.5      0.6818
R:ADJ          2        12       14       0.1429   0.125    0.1389
R:ADJ:FORM     0        0        5        1.0      0.0      0.0
R:ADV          1        0        4        1.0      0.2      0.5556
R:CONJ         0        2        1        0.0      0.0      0.0
R:CONTR        0        1        1        0.0      0.0      0.0
R:DET          14       9        19       0.6087   0.4242   0.56
R:MORPH        12       6        17       0.6667   0.4138   0.5941
R:NOUN         3        119      29       0.0246   0.0938   0.0288
R:NOUN:INFL    1        0        0        1.0      1.0      1.0
R:NOUN:NUM     22       7        21       0.7586   0.5116   0.6918
R:NOUN:POSS    0        0        1        1.0      0.0      0.0
R:ORTH         18       807      19       0.0218   0.4865   0.027
R:OTHER        11       167      72       0.0618   0.1325   0.0692
R:PART         1        2        4        0.3333   0.2      0.2941
R:PREP         23       14       34       0.6216   0.4035   0.561
R:PRON         2        3        9        0.4      0.1818   0.3226
R:PUNCT        0        2        40       0.0      0.0      0.0
R:SPELL        27       29       17       0.4821   0.6136   0.5037
R:VERB         4        12       25       0.25     0.1379   0.2151
R:VERB:FORM    13       13       17       0.5      0.4333   0.4851
R:VERB:SVA     26       14       3        0.65     0.8966   0.6878
R:VERB:TENSE   13       6        28       0.6842   0.3171   0.5556
R:WO           7        1        11       0.875    0.3889   0.7
U:ADJ          1        3        0        0.25     1.0      0.2941
U:ADV          0        2        5        0.0      0.0      0.0
U:CONJ         0        0        1        1.0      0.0      0.0
U:CONTR        1        2        1        0.3333   0.5      0.3571
U:DET          18       11       17       0.6207   0.5143   0.596
U:NOUN         1        1        4        0.5      0.2      0.3846
U:OTHER        5        13       10       0.2778   0.3333   0.2874
U:PART         2        0        1        1.0      0.6667   0.9091
U:PREP         10       4        7        0.7143   0.5882   0.6849
U:PRON         0        1        4        0.0      0.0      0.0
U:PUNCT        2        77       3        0.0253   0.4      0.0312
U:VERB         0        5        1        0.0      0.0      0.0
U:VERB:FORM    3        3        0        0.5      1.0      0.5556
U:VERB:TENSE   3        1        1        0.75     0.75     0.75

=========== Span-Based Correction ============
TP	FP	FN	Prec	Rec	F0.5
296	1394	634	0.1751	0.3183	0.1925
==============================================

