condition,mean_oci,mean_oci_divergence,scheme,rank
baseline,0.016929451524602557,0.043830192671391696,A_Default,4
fewshot,0.01126868888089162,0.030640007801237046,A_Default,3
instruction,0.00989173195745859,0.027084779062370463,A_Default,1
role,0.010589393005020988,0.028411296781305214,A_Default,2
baseline,0.01614403993384946,0.04193128796008421,B_Edit_heavy,4
fewshot,0.011533568525085452,0.03137970239278205,B_Edit_heavy,3
instruction,0.010661580816323818,0.029184837577582428,B_Edit_heavy,1
role,0.011221771051482069,0.030186594618295058,B_Edit_heavy,2
baseline,0.016789337140327036,0.0435077560019228,C_Style_heavy,4
fewshot,0.010706340876906402,0.029114899499995506,C_Style_heavy,3
instruction,0.009090713424017733,0.024899071422874734,C_Style_heavy,1
role,0.009782675903214596,0.02624101570436684,C_Style_heavy,2
baseline,0.013482928726881244,0.034242729848294746,D_Similarity_heavy,4
fewshot,0.008512003472922653,0.023043260921737273,D_Similarity_heavy,3
instruction,0.007414492077296487,0.02026978747861155,D_Similarity_heavy,1
role,0.008212857167987654,0.021773109480593664,D_Similarity_heavy,2
baseline,0.015105245056916733,0.03848174543120883,E_Equal_weights,4
fewshot,0.00938511410009025,0.025439952531473548,E_Equal_weights,3
instruction,0.008029928916697847,0.021960265602262614,E_Equal_weights,1
role,0.008853184989419002,0.023539539147514117,E_Equal_weights,2
