
===================== Span-Based Correction ======================
Category       TP       FP       FN       P        R        F0.5
M:ADJ              4      12      22    25.00    15.38    22.22
M:ADV             19      49      32    27.94    37.25    29.41
M:CONJ            16      71      20    18.39    44.44    20.83
M:DET            327     255     150    56.19    68.55    58.29
M:NOUN            20      80      64    20.00    23.81    20.66
M:OTHER           35     155     126    18.42    21.74    19.00
M:PART             4       6       8    40.00    33.33    38.46
M:PREP           110     176      97    38.46    53.14    40.71
M:PRON            34      47      55    41.98    38.20    41.16
M:PUNCT            2       2      43    50.00     4.44    16.39
M:VERB            35      75      58    31.82    37.63    32.83
M:VERB:FORM       18      16       5    52.94    78.26    56.60
M:VERB:TENSE      42      45      35    48.28    54.55    49.41
R:ADJ             60     134     107    30.93    35.93    31.81
R:ADJ:FORM         9       7       7    56.25    56.25    56.25
R:ADV             19      40      45    32.20    29.69    31.67
R:CONJ             5      15       7    25.00    41.67    27.17
R:CONTR            0       4       7     0.00     0.00     0.00
R:DET            111     174     115    38.95    49.12    40.63
R:MORPH          118     147      65    44.53    64.48    47.47
R:NOUN           710    1551     782    31.40    47.59    33.69
R:NOUN:INFL        8       1       0    88.89   100.00    90.91
R:NOUN:NUM       159     131      71    54.83    69.13    57.19
R:NOUN:POSS        0       0       2   100.00     0.00     0.00
R:ORTH           335     684     314    32.88    51.62    35.45
R:OTHER          673    1640     966    29.10    41.06    30.90
R:PART            21      43      22    32.81    48.84    35.12
R:PREP           367     288     276    56.03    57.08    56.24
R:PRON            49      82      65    37.40    42.98    38.40
R:PUNCT            5       8       7    38.46    41.67    39.06
R:SPELL          282     150      74    65.28    79.21    67.66
R:VERB           131     274     373    32.35    25.99    30.84
R:VERB:FORM      145     155      80    48.33    64.44    50.88
R:VERB:INFL        2       0       1   100.00    66.67    90.91
R:VERB:SVA       171      97      38    63.81    81.82    66.74
R:VERB:TENSE     193     124     246    60.88    43.96    56.53
R:WO              60      69      48    46.51    55.56    48.08
U:ADJ             10      16      15    38.46    40.00    38.76
U:ADV             30      55      27    35.29    52.63    37.78
U:CONJ             6      49       4    10.91    60.00    13.04
U:CONTR            1       1       0    50.00   100.00    55.56
U:DET            233     216     155    51.89    60.05    53.34
U:NOUN            23      50      44    31.51    34.33    32.03
U:OTHER           40     174      84    18.69    32.26    20.41
U:PART             5       9       7    35.71    41.67    36.76
U:PREP            86      86      59    50.00    59.31    51.62
U:PRON            19      54      22    26.03    46.34    28.53
U:PUNCT           10      39       4    20.41    71.43    23.81
U:VERB            16      60      28    21.05    36.36    22.99
U:VERB:FORM       18      43       2    29.51    90.00    34.09
U:VERB:TENSE      28      21      20    57.14    58.33    57.38

=========== Span-Based Correction ============
TP	FP	FN	Prec	Rec	F0.5
4824	7680	4904	0.3858	0.4959	0.4037
==============================================
