condition,error_type,gold_count,system_count
baseline,M:ADJ,26,16
baseline,M:ADV,51,68
baseline,M:CONJ,36,87
baseline,M:DET,477,582
baseline,M:NOUN,84,100
baseline,M:OTHER,161,190
baseline,M:PART,12,10
baseline,M:PREP,207,286
baseline,M:PRON,89,81
baseline,M:PUNCT,45,4
baseline,M:VERB,93,112
baseline,M:VERB:FORM,23,34
baseline,M:VERB:TENSE,77,85
baseline,R:ADJ,167,193
baseline,R:ADJ:FORM,16,15
baseline,R:ADV,64,57
baseline,R:CONJ,12,20
baseline,R:CONTR,7,4
baseline,R:DET,226,285
baseline,R:MORPH,183,266
baseline,R:NOUN,1492,2263
baseline,R:NOUN:INFL,8,9
baseline,R:NOUN:NUM,230,290
baseline,R:NOUN:POSS,2,0
baseline,R:ORTH,649,1019
baseline,R:OTHER,1639,2314
baseline,R:PART,43,66
baseline,R:PREP,643,654
baseline,R:PRON,114,131
baseline,R:PUNCT,12,13
baseline,R:SPELL,356,432
baseline,R:VERB,504,405
baseline,R:VERB:FORM,225,299
baseline,R:VERB:INFL,3,2
baseline,R:VERB:SVA,209,268
baseline,R:VERB:TENSE,439,317
baseline,R:WO,108,129
baseline,U:ADJ,25,26
baseline,U:ADV,57,85
baseline,U:CONJ,10,55
baseline,U:CONTR,1,2
baseline,U:DET,388,449
baseline,U:NOUN,67,73
baseline,U:OTHER,124,214
baseline,U:PART,12,14
baseline,U:PREP,145,172
baseline,U:PRON,41,73
baseline,U:PUNCT,14,49
baseline,U:VERB,44,76
baseline,U:VERB:FORM,20,61
baseline,U:VERB:TENSE,48,49
fewshot,M:ADJ,26,13
fewshot,M:ADV,51,36
fewshot,M:CONJ,36,35
fewshot,M:DET,477,565
fewshot,M:NOUN,84,54
fewshot,M:OTHER,161,87
fewshot,M:PART,12,6
fewshot,M:PREP,207,207
fewshot,M:PRON,89,71
fewshot,M:PUNCT,45,3
fewshot,M:VERB,93,95
fewshot,M:VERB:FORM,23,32
fewshot,M:VERB:TENSE,77,77
fewshot,R:ADJ,167,107
fewshot,R:ADJ:FORM,16,12
fewshot,R:ADV,64,34
fewshot,R:CONJ,12,10
