
===================== Span-Based Correction ======================
Category       TP       FP       FN       P        R        F0.5
M:ADJ              4       9      22    30.77    15.38    25.64
M:ADV             13      23      38    36.11    25.49    33.33
M:CONJ             7      28      29    20.00    19.44    19.89
M:DET            316     249     161    55.93    66.25    57.73
M:NOUN            16      38      68    29.63    19.05    26.67
M:OTHER           28      59     133    32.18    17.39    27.50
M:PART             5       1       7    83.33    41.67    69.44
M:PREP            99     108     108    47.83    47.83    47.83
M:PRON            34      37      55    47.89    38.20    45.58
M:PUNCT            2       1      43    66.67     4.44    17.54
M:VERB            34      60      59    36.17    36.56    36.25
M:VERB:FORM       19      13       4    59.38    82.61    62.91
M:VERB:TENSE      36      42      41    46.15    46.75    46.27
R:ADJ             51      56     116    47.66    30.54    42.86
R:ADJ:FORM         7       6       9    53.85    43.75    51.47
R:ADV             15      20      49    42.86    23.44    36.76
R:CONJ             3       7       9    30.00    25.00    28.85
R:CONTR            0       4       7     0.00     0.00     0.00
R:DET             92      78     134    54.12    40.71    50.77
R:MORPH          105      97      78    51.98    57.38    52.98
R:NOUN           576     996     916    36.64    38.61    37.02
R:NOUN:INFL        8       1       0    88.89   100.00    90.91
R:NOUN:NUM       155     135      75    53.45    67.39    55.76
R:NOUN:POSS        0       0       2   100.00     0.00     0.00
R:ORTH           337     645     312    34.32    51.93    36.81
R:OTHER          518     959    1121    35.07    31.60    34.32
R:PART            15      19      28    44.12    34.88    41.90
R:PREP           318     188     325    62.85    49.46    59.62
R:PRON            45      48      69    48.39    39.47    46.30
R:PUNCT            5       9       7    35.71    41.67    36.76
R:SPELL          284     147      72    65.89    79.78    68.27
R:VERB            97      98     407    49.74    19.25    37.77
R:VERB:FORM      139     123      86    53.05    61.78    54.60
R:VERB:INFL        2       1       1    66.67    66.67    66.67
R:VERB:SVA       178     116      31    60.54    85.17    64.26
R:VERB:TENSE     165      96     274    63.22    37.59    55.63
R:WO              51      47      57    52.04    47.22    51.00
U:ADJ              8       5      17    61.54    32.00    51.95
U:ADV             11      18      46    37.93    19.30    31.79
U:CONJ             6      15       4    28.57    60.00    31.91
U:CONTR            1       0       0   100.00   100.00   100.00
U:DET            188     106     200    63.95    48.45    60.10
U:NOUN            17      15      50    53.12    25.37    43.59
U:OTHER           18      60     106    23.08    14.52    20.64
U:PART             5       4       7    55.56    41.67    52.08
U:PREP            75      55      70    57.69    51.72    56.39
U:PRON            16      23      25    41.03    39.02    40.61
U:PUNCT            9      27       5    25.00    64.29    28.48
U:VERB            15      38      29    28.30    34.09    29.30
U:VERB:FORM       19      32       1    37.25    95.00    42.41
U:VERB:TENSE      20      19      28    51.28    41.67    49.02

=========== Span-Based Correction ============
TP	FP	FN	Prec	Rec	F0.5
4187	4981	5541	0.4567	0.4304	0.4512
==============================================
