
===================== Span-Based Correction ======================
Category       TP       FP       FN       P        R        F0.5
M:ADJ              4       5      22    44.44    15.38    32.26
M:ADV             12       8      39    60.00    23.53    45.80
M:CONJ             5      11      31    31.25    13.89    25.00
M:DET            276     151     201    64.64    57.86    63.16
M:NOUN            12      23      72    34.29    14.29    26.79
M:OTHER           19      34     142    35.85    11.80    25.47
M:PART             1       1      11    50.00     8.33    25.00
M:PREP            80      64     127    55.56    38.65    51.09
M:PRON            29      22      60    56.86    32.58    49.49
M:PUNCT            1       1      44    50.00     2.22     9.43
M:VERB            26      36      67    41.94    27.96    38.12
M:VERB:FORM       16      14       7    53.33    69.57    55.94
M:VERB:TENSE      28      29      49    49.12    36.36    45.90
R:ADJ             37      65     130    36.27    22.16    32.17
R:ADJ:FORM         6       2      10    75.00    37.50    62.50
R:ADV             14      13      50    51.85    21.88    40.70
R:CONJ             1       6      11    14.29     8.33    12.50
R:CONTR            0       3       7     0.00     0.00     0.00
R:DET             65      64     161    50.39    28.76    43.80
R:MORPH           84      65      99    56.38    45.90    53.92
R:NOUN           587    1011     905    36.73    39.34    37.23
R:NOUN:INFL        8       1       0    88.89   100.00    90.91
R:NOUN:NUM       127      61     103    67.55    55.22    64.66
R:NOUN:POSS        0       0       2   100.00     0.00     0.00
R:ORTH           336     637     313    34.53    51.77    37.00
R:OTHER          511     879    1128    36.76    31.18    35.49
R:PART             8      16      35    33.33    18.60    28.78
R:PREP           250      95     393    72.46    38.88    61.79
R:PRON            37      32      77    53.62    32.46    47.44
R:PUNCT            4       8       8    33.33    33.33    33.33
R:SPELL          285     149      71    65.67    80.06    68.12
R:VERB            70      65     434    51.85    13.89    33.52
R:VERB:FORM      118      96     107    55.14    52.44    54.58
R:VERB:INFL        2       0       1   100.00    66.67    90.91
R:VERB:SVA       172      88      37    66.15    82.30    68.86
R:VERB:TENSE     121      46     318    72.46    27.56    54.65
R:WO              33      30      75    52.38    30.56    45.83
U:ADJ              3       2      22    60.00    12.00    33.33
U:ADV              7       6      50    53.85    12.28    32.11
U:CONJ             5      13       5    27.78    50.00    30.49
U:CONTR            0       0       1   100.00     0.00     0.00
U:DET            154      54     234    74.04    39.69    63.11
U:NOUN            12      16      55    42.86    17.91    33.52
U:OTHER           14      40     110    25.93    11.29    20.59
U:PART             4       1       8    80.00    33.33    62.50
U:PREP            58      37      87    61.05    40.00    55.24
U:PRON            10      23      31    30.30    24.39    28.90
U:PUNCT           10      19       4    34.48    71.43    38.46
U:VERB            14      22      30    38.89    31.82    37.23
U:VERB:FORM       16      24       4    40.00    80.00    44.44
U:VERB:TENSE      14       8      34    63.64    29.17    51.47

=========== Span-Based Correction ============
TP	FP	FN	Prec	Rec	F0.5
3706	4096	6022	0.475	0.381	0.4527
==============================================
