
===================== Span-Based Correction ======================
Category       TP       FP       FN       P        R        F0.5
M:ADJ              4       6      22    40.00    15.38    30.30
M:ADV              7      15      44    31.82    13.73    25.18
M:CONJ             6      22      30    21.43    16.67    20.27
M:DET            295     194     182    60.33    61.84    60.62
M:NOUN            15      39      69    27.78    17.86    25.00
M:OTHER           25      48     136    34.25    15.53    27.59
M:PART             2       0      10   100.00    16.67    50.00
M:PREP            92      84     115    52.27    44.44    50.49
M:PRON            31      34      58    47.69    34.83    44.41
M:PUNCT            1       1      44    50.00     2.22     9.43
M:VERB            29      33      64    46.77    31.18    42.52
M:VERB:FORM       18      13       5    58.06    78.26    61.22
M:VERB:TENSE      33      31      44    51.56    42.86    49.55
R:ADJ             43      60     124    41.75    25.75    37.13
R:ADJ:FORM         7       2       9    77.78    43.75    67.31
R:ADV             14      14      50    50.00    21.88    39.77
R:CONJ             2       6      10    25.00    16.67    22.73
R:CONTR            0       4       7     0.00     0.00     0.00
R:DET             80      80     146    50.00    35.40    46.19
R:MORPH           93      93      90    50.00    50.82    50.16
R:NOUN           572     985     920    36.74    38.34    37.05
R:NOUN:INFL        8       1       0    88.89   100.00    90.91
R:NOUN:NUM       143      81      87    63.84    62.17    63.50
R:NOUN:POSS        0       0       2   100.00     0.00     0.00
R:ORTH           334     630     315    34.65    51.46    37.07
R:OTHER          492     918    1147    34.89    30.02    33.80
R:PART            13      15      30    46.43    30.23    41.94
R:PREP           297     157     346    65.42    46.19    60.39
R:PRON            39      39      75    50.00    34.21    45.77
R:PUNCT            4       8       8    33.33    33.33    33.33
R:SPELL          290     147      66    66.36    81.46    68.92
R:VERB            85      86     419    49.71    16.87    35.77
R:VERB:FORM      134     107      91    55.60    59.56    56.35
R:VERB:INFL        2       0       1   100.00    66.67    90.91
R:VERB:SVA       178     103      31    63.35    85.17    66.77
R:VERB:TENSE     151      78     288    65.94    34.40    55.72
R:WO              48      42      60    53.33    44.44    51.28
U:ADJ              6       6      19    50.00    24.00    41.10
U:ADV             11      17      46    39.29    19.30    32.54
U:CONJ             5      11       5    31.25    50.00    33.78
U:CONTR            1       0       0   100.00   100.00   100.00
U:DET            180      78     208    69.77    46.39    63.38
U:NOUN            14      23      53    37.84    20.90    32.56
U:OTHER           16      71     108    18.39    12.90    16.95
U:PART             5       4       7    55.56    41.67    52.08
U:PREP            69      47      76    59.48    47.59    56.65
U:PRON            14      21      27    40.00    34.15    38.67
U:PUNCT           10      26       4    27.78    71.43    31.65
U:VERB            16      32      28    33.33    36.36    33.90
U:VERB:FORM       18      29       2    38.30    90.00    43.27
U:VERB:TENSE      19      16      29    54.29    39.58    50.53

=========== Span-Based Correction ============
TP	FP	FN	Prec	Rec	F0.5
3971	4557	5757	0.4656	0.4082	0.4529
==============================================
